Game Number,Player 1 Name,Player 2 Name,Player 1 Moves, Player 2 Moves, PlPlayer 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),9,9,Depth: 7,Ms/Move: 300,2629,302,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:52:11
1,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,9,8,Ms/Move: 300,Depth: 7,300,428,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:52:17
2,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,617,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:52:27
3,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 300,Depth: 7,303,1731,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:52:46
4,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,2282,302,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:53:14
5,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 300,Depth: 7,300,1497,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:53:32
6,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),13,13,Depth: 7,Ms/Move: 300,86,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:53:37
7,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 300,Depth: 7,300,222,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:53:42
8,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),9,9,Depth: 7,Ms/Move: 300,756,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:53:52
9,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,14,13,Ms/Move: 300,Depth: 7,300,101,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:53:58
10,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),12,12,Depth: 7,Ms/Move: 300,629,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:54:09
11,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,13,12,Ms/Move: 300,Depth: 7,302,169,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:54:15
12,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),13,13,Depth: 7,Ms/Move: 300,302,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:54:22
13,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,9,8,Ms/Move: 300,Depth: 7,300,1402,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:54:36
