Game Number,Player 1 Name,Player 2 Name,Player 1 Moves,Player 2 Moves,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:29:58
1,RandomPlayer,MiniMax w/ CustomHeuristic,22,22,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:29:58
2,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 2,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:29:58
3,RandomPlayer,MiniMax w/ CustomHeuristic,18,18,Zufall,Depth: 3,0,5,MiniMax w/ CustomHeuristic,2024-10-15 18:29:58
4,MiniMax w/ CustomHeuristic,RandomPlayer,27,26,Depth: 4,Zufall,16,0,MiniMax w/ CustomHeuristic,2024-10-15 18:29:58
5,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 5,0,15,MiniMax w/ CustomHeuristic,2024-10-15 18:29:58
6,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 6,Zufall,21,0,MiniMax w/ CustomHeuristic,2024-10-15 18:29:59
7,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 7,0,228,MiniMax w/ CustomHeuristic,2024-10-15 18:30:04
8,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 8,Zufall,422,0,MiniMax w/ CustomHeuristic,2024-10-15 18:30:14
9,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 9,0,2995,MiniMax w/ CustomHeuristic,2024-10-15 18:31:17
10,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:31:17
11,RandomPlayer,MiniMax w/ CustomHeuristic,17,17,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:31:17
12,MiniMax w/ CustomHeuristic,RandomPlayer,21,20,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:31:17
13,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:31:17
14,MiniMax w/ CustomHeuristic,RandomPlayer,31,31,Depth: 4,Zufall,1,0,Draw,2024-10-15 18:31:17
15,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 5,0,4,MiniMax w/ CustomHeuristic,2024-10-15 18:31:17
16,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 6,Zufall,12,0,MiniMax w/ CustomHeuristic,2024-10-15 18:31:17
17,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 7,0,74,MiniMax w/ CustomHeuristic,2024-10-15 18:31:19
