Game Number,Player 1 Name,Player 2 Name,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:02
1,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:02
2,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:02
3,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:02
4,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:03
5,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:03
6,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:03
7,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:03
8,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:03
9,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:03
10,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:04
11,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:04
12,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:04
13,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:04
14,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:04
15,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:05
16,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:05
17,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:05
18,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:05
19,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:05
20,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:06
21,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:06
22,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:06
23,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:06
24,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:06
25,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:07
26,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:07
27,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:07
28,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:07
29,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:07
30,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:08
31,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:08
32,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:08
33,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:08
34,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:08
35,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:08
36,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 10,0,10,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:09
37,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 10,Zufall,10,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:06:09
